random_state,test_acc,test_nmi
0,0.41081081081081083,0.2990961625065741
1,0.0972972972972973,0.2990961625065741
2,0.3081081081081081,0.2990961625065741
3,0.2702702702702703,0.2990961625065741
4,0.2810810810810811,0.2990961625065741
5,0.2702702702702703,0.2990961625065741
6,0.2702702702702703,0.2990961625065741
7,0.2702702702702703,0.2990961625065741
8,0.6324324324324324,0.2990961625065741
9,0.2702702702702703,0.2990961625065741
10,0.2702702702702703,0.2990961625065741
11,0.41081081081081083,0.2990961625065741
12,0.6324324324324324,0.2990961625065741
13,0.2810810810810811,0.2990961625065741
14,0.2810810810810811,0.2990961625065741
15,0.2810810810810811,0.2990961625065741
16,0.2702702702702703,0.2990961625065741
17,0.2810810810810811,0.2990961625065741
18,0.2810810810810811,0.2990961625065741
19,0.3081081081081081,0.2990961625065741
20,0.3081081081081081,0.2990961625065741
21,0.6324324324324324,0.2990961625065741
22,0.6324324324324324,0.2990961625065741
23,0.0972972972972973,0.2990961625065741
24,0.2702702702702703,0.2990961625065741
25,0.2810810810810811,0.2990961625065741
26,0.0972972972972973,0.2990961625065741
27,0.3081081081081081,0.2990961625065741
28,0.2810810810810811,0.2990961625065741
29,0.3081081081081081,0.2990961625065741
30,0.3081081081081081,0.2990961625065741
31,0.41081081081081083,0.2990961625065741
32,0.3081081081081081,0.2990961625065741
33,0.41081081081081083,0.2990961625065741
34,0.41081081081081083,0.2990961625065741
35,0.2702702702702703,0.2990961625065741
36,0.2702702702702703,0.2990961625065741
37,0.41081081081081083,0.2990961625065741
38,0.0972972972972973,0.2990961625065741
39,0.41081081081081083,0.2990961625065741
40,0.3081081081081081,0.2990961625065741
41,0.3081081081081081,0.2990961625065741
42,0.3081081081081081,0.2990961625065741
43,0.3081081081081081,0.2990961625065741
44,0.2702702702702703,0.2990961625065741
45,0.41081081081081083,0.2990961625065741
46,0.2810810810810811,0.2990961625065741
47,0.2810810810810811,0.2990961625065741
48,0.2702702702702703,0.2990961625065741
49,0.3081081081081081,0.2990961625065741
50,0.6324324324324324,0.2990961625065741
51,0.2810810810810811,0.2990961625065741
52,0.41081081081081083,0.2990961625065741
53,0.3081081081081081,0.2990961625065741
54,0.41081081081081083,0.2990961625065741
55,0.6324324324324324,0.2990961625065741
56,0.3081081081081081,0.2990961625065741
57,0.2702702702702703,0.2990961625065741
58,0.6324324324324324,0.2990961625065741
59,0.41081081081081083,0.2990961625065741
60,0.0972972972972973,0.2990961625065741
61,0.3081081081081081,0.2990961625065741
62,0.2702702702702703,0.2990961625065741
63,0.2810810810810811,0.2990961625065741
64,0.3081081081081081,0.2990961625065741
65,0.2702702702702703,0.2990961625065741
66,0.3081081081081081,0.2990961625065741
67,0.41081081081081083,0.2990961625065741
68,0.6324324324324324,0.2990961625065741
69,0.3081081081081081,0.2990961625065741
70,0.2702702702702703,0.2990961625065741
71,0.2702702702702703,0.2990961625065741
72,0.2702702702702703,0.2990961625065741
73,0.2702702702702703,0.2990961625065741
74,0.2810810810810811,0.2990961625065741
75,0.3081081081081081,0.2990961625065741
76,0.3081081081081081,0.2990961625065741
77,0.2702702702702703,0.2990961625065741
78,0.2702702702702703,0.2990961625065741
79,0.2702702702702703,0.2990961625065741
80,0.6324324324324324,0.2990961625065741
81,0.3081081081081081,0.2990961625065741
82,0.41081081081081083,0.2990961625065741
83,0.2810810810810811,0.2990961625065741
84,0.3081081081081081,0.2990961625065741
85,0.2702702702702703,0.2990961625065741
86,0.2702702702702703,0.2990961625065741
87,0.3081081081081081,0.2990961625065741
88,0.6324324324324324,0.2990961625065741
89,0.6324324324324324,0.2990961625065741
90,0.2702702702702703,0.2990961625065741
91,0.2702702702702703,0.2990961625065741
92,0.3081081081081081,0.2990961625065741
93,0.3081081081081081,0.2990961625065741
94,0.2702702702702703,0.2990961625065741
95,0.41081081081081083,0.2990961625065741
96,0.3081081081081081,0.2990961625065741
97,0.3081081081081081,0.2990961625065741
98,0.6324324324324324,0.2990961625065741
99,0.2702702702702703,0.2990961625065741
